Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
72.546	76.301	84.127	89.665
72.432	76.415	83.108	87.858
69.696	76.869	81.182	88.988
70.038	78.232	83.787	89.327
73.229	78.573	83.335	87.407
69.924	76.415	84.127	90.455
71.634	76.301	84.467	88.988
71.064	77.437	85.372	87.971
73.685	76.301	83.787	88.875
70.266	79.481	82.995	89.214
69.810	78.346	84.353	86.842
72.546	76.415	82.089	89.665
74.140	78.800	85.032	88.875
73.685	79.367	83.901	89.665
73.002	76.301	84.580	87.294
71.634	78.346	84.353	90.229
73.799	75.960	82.995	89.327
72.090	77.778	84.693	89.214
71.406	78.346	82.995	90.004
70.380	76.301	85.824	86.955
71.862	76.301	83.335	88.649
71.292	77.892	82.542	87.971
73.002	79.821	85.372	88.875
71.976	76.983	85.824	90.117
71.748	79.254	84.240	89.665
74.254	79.027	82.655	87.407
72.660	79.254	84.240	87.068
72.660	78.232	85.937	90.906
73.457	77.324	82.202	88.310
72.546	78.913	82.089	88.762
70.950	80.615	85.145	87.294
70.494	79.367	86.050	90.229
73.912	76.983	84.919	89.891
73.571	80.729	82.315	91.245
74.481	79.254	85.937	89.778
71.406	80.388	84.580	88.536
71.520	79.254	85.711	90.342
74.595	78.573	86.389	90.342
73.912	76.869	85.711	90.681
75.164	80.275	83.561	87.971
71.862	78.005	86.389	91.245
72.090	77.664	86.050	89.439
71.862	80.842	85.598	89.327
72.660	79.254	85.145	91.696
74.368	80.048	84.127	90.117
75.391	79.708	83.901	89.552
73.912	79.935	84.580	90.681
72.432	77.437	82.768	88.423
73.229	77.778	85.372	91.583
72.432	80.615	85.372	91.808
71.748	78.232	84.806	91.019
74.481	77.664	84.353	90.004
75.619	77.664	84.693	88.423
73.799	78.686	86.163	91.583
74.709	79.708	82.995	88.875
75.846	79.140	85.598	91.245
75.505	81.069	86.842	90.229
73.685	80.615	86.276	89.891
